mean,std_dev,min,max,median,label
545544373933.1614,15784696492016.52,-746.0,468000000000000.0,-1.0150000000000001,NEGATIVE
20143545.82355758,585397339.9425571,-89200000.0,17800000000.0,5.16,NEUTRAL
316007969190.318,9221219835217.488,-473000000000.0,313000000000000.0,-30.3,POSITIVE
2769450617194.9233,80458564797824.33,-3920000000000.0,2440000000000000.0,2.6550000000000002,POSITIVE
3791503977.821209,83483380749.6456,-12000000000.0,2280000000000.0,8.985,NEUTRAL
43127598.35549789,1323281961.585541,-194000000.0,48800000000.0,7.84,NEUTRAL
119925345.77438048,3048505532.3412943,-89100000.0,98200000000.0,1.835,POSITIVE
5972475004147.538,173042644302307.62,-66000000.0,5270000000000000.0,-2.33,NEGATIVE
26861147.017444734,680111519.7361907,-115000000.0,21300000000.0,-1.185,NEUTRAL
93833141170.24788,2720730893635.212,-22600000000.0,82300000000000.0,-44.9,NEGATIVE
17163218.60195962,490324430.3823214,-101000000.0,14800000000.0,0.713,POSITIVE
126913384715.23717,3676784109402.519,-10200.0,111000000000000.0,-0.1076,NEGATIVE
47263483.52306594,1696933673.073885,-263000000.0,68700000000.0,7.77,NEUTRAL
8416928426771.933,307527124544451.8,-108000000.0,1.25e+16,7.165,NEGATIVE
16487895.067274153,497767532.5240853,-141000000.0,17800000000.0,4.9,NEUTRAL
4236534812920.5786,123855027330927.84,-104000000.0,4060000000000000.0,-2.865,NEGATIVE
11034654.94638762,286508482.11872953,-17200000.0,10100000000.0,-3.9299999999999997,POSITIVE
14380996.544138825,415730563.1271683,-26700000.0,12300000000.0,6.75,NEUTRAL
1487788376.4495885,35181613765.39124,-1150.0,1030000000000.0,-236.5,NEGATIVE
495643596891.7446,14337327455188.064,-50300000.0,427000000000000.0,-2.4050000000000002,NEGATIVE
1249285337137.75,36354729023312.72,-80700000.0,1160000000000000.0,-7.26,NEGATIVE
15425121.210160099,443924474.6469064,-41000000.0,15000000000.0,21.6,NEUTRAL
2519258471611.5186,72735954551708.64,-32700000000.0,2230000000000000.0,-6.22,NEGATIVE
283474862301.8347,8297728851635.473,-162000000.0,273000000000000.0,-3.89,NEGATIVE
2246141694.421959,56619560926.475784,-6890000000.0,1930000000000.0,-1.1,POSITIVE
15712638.194088442,502023523.48526007,-39500000.0,19400000000.0,8.725000000000001,NEUTRAL
838917965307.0851,24970422331462.543,-1670000000000.0,866000000000000.0,-1.72,NEGATIVE
96857812.48389974,2226442242.126357,-654000000.0,66700000000.0,9.665,NEUTRAL
2894840356872.923,84012124147618.39,-3660000000000.0,2490000000000000.0,-1.1949999999999998,POSITIVE
653670604746.694,19122931230023.137,-654000000000.0,623000000000000.0,-65.3,POSITIVE
11778245.452796875,338095416.32443625,-43500000.0,10900000000.0,0.3175,POSITIVE
24914126.981320336,717733182.4584122,-897000.0,22300000000.0,7.34,NEUTRAL
21627900.187230363,619915988.1197902,-1640.0,19500000000.0,7.255,NEUTRAL
15990211.09696273,454753917.0027907,-7080000.0,15600000000.0,0.32499999999999996,POSITIVE
16184948.793874588,472946248.08529484,-105000.0,16300000000.0,5.785,NEUTRAL
20293428.336481806,598709828.2304839,-64500000.0,20300000000.0,7.88,NEUTRAL
2136613072979.4426,76752953052644.75,-569.0,3110000000000000.0,-1.355,POSITIVE
1275312472488.399,36947806230570.695,-99100000.0,1120000000000000.0,1.1444999999999999,NEGATIVE
297138211.3087312,10001108386.84009,-264000000.0,406000000000.0,4.825,POSITIVE
35712567.528158545,1032047908.1455193,-744000.0,31900000000.0,7.68,NEUTRAL
199217558301.88345,5761259656204.127,-9300000.0,170000000000000.0,10.030000000000001,NEUTRAL
61499952.383664176,1431731294.6768966,-110000000.0,46600000000.0,6.845000000000001,NEUTRAL
21765094.18054842,639850745.399575,-39200000.0,23000000000.0,3.57,POSITIVE
19518077.501965567,594529994.4719317,-302000.0,21900000000.0,7.38,NEUTRAL
314119559680.9125,9175786227245.559,-92400.0,300000000000000.0,-36.75,NEGATIVE
22477918.914685044,662323973.6216724,-46600000.0,24300000000.0,-0.73,POSITIVE
708095589573.3058,20660458744199.69,-76000000.0,671000000000000.0,-1.0165,NEGATIVE
57722374.69848443,1656838408.2334964,-182000000.0,52900000000.0,1.67,POSITIVE
1619068682477.8533,46740829142784.95,-14800000000.0,1370000000000000.0,4.52,NEGATIVE
58592410.51372904,1699655142.7969935,-11600000.0,66200000000.0,4.470000000000001,POSITIVE
81526471307.29414,2339758060575.1436,-7250000000.0,78500000000000.0,-197.5,POSITIVE
557760429767.3375,16261237903944.145,-89300000000.0,521000000000000.0,2.645,NEGATIVE
6035802.731203387,124355630.16402386,-28100000.0,4250000000.0,-1.92,POSITIVE
21588520.113375552,558481050.7775986,-33900000.0,18400000000.0,7.734999999999999,NEUTRAL
19460937.04319983,508014313.94492364,-61000000.0,16700000000.0,-1.6,POSITIVE
113671596533.5045,3440135074537.7065,-193000000000.0,124000000000000.0,-11.3,NEGATIVE
22625099.99773286,658295936.7477248,-82300000.0,20200000000.0,7.48,NEUTRAL
4624380181314.765,134086313495951.25,-1320000000000.0,4020000000000000.0,0.476,NEGATIVE
15809546.852225767,369431917.41343135,-48800000.0,10700000000.0,2.17,POSITIVE
16606677503.156305,460901349710.13666,-48400000000.0,13500000000000.0,16.95,NEUTRAL
101967269806.39905,3026265135237.8047,-11800000.0,105000000000000.0,-48.4,NEGATIVE
848552019.7822512,24287361449.889946,-4180000000.0,774000000000.0,8.405000000000001,NEUTRAL
35313896.314538814,819608734.1577369,-164000000.0,24600000000.0,1.97,POSITIVE
1355479485254.602,39722695983352.49,-1970000000000.0,1300000000000000.0,1.93,NEGATIVE
28092635.604258638,851119463.850067,-25700000.0,30800000000.0,5.15,NEUTRAL
479521170903.28326,13953612499614.875,-204000000.0,443000000000000.0,1.905,POSITIVE
14683742.159269145,425399237.59299016,-17300000.0,13200000000.0,5.04,NEUTRAL
426977771.1030115,8703008178.717857,-260000000.0,243000000000.0,-255.0,NEGATIVE
9779157.645210916,285697544.0073471,-2440000.0,9480000000.0,8.440000000000001,NEUTRAL
142260975.88395652,5359906355.335797,-5030000.0,219000000000.0,3.435,POSITIVE
6861544208059.1,207457769629539.16,-5230000000000.0,7490000000000000.0,1.55,POSITIVE
2258466287.5286913,43372379630.81276,-5780000000.0,946000000000.0,6.84,POSITIVE
1287805527.107523,26555011964.25036,-4630000000.0,674000000000.0,4.965,NEUTRAL
5667644085077.346,164014196968206.03,-11400000.0,4760000000000000.0,-1.1875,NEGATIVE
29562073.687462904,854778976.2215174,-94900000.0,26700000000.0,6.895,NEUTRAL
20602430.963755954,606869931.4864882,-303000.0,20900000000.0,5.8,NEUTRAL
452195280.0649467,13521189862.27092,-1760000000.0,499000000000.0,-0.642,POSITIVE
14248331678.4435,403647073130.04095,-44600000000.0,12700000000000.0,-0.40549999999999997,POSITIVE
